ID,Status,No Friend,education,about me,family,gender,relationship,phototag*,photopost*,video,checkin,sport,player,music,film,series,book,game,restaurant,like,group,note,post shared/post posted rate
173,real,510,university,yes,no,male,alone,5,3,7,42,2,0,1,1,3,0,0,23,469,21,no,0.3
174,real,432,university,yes,yes,male,alone,20,56,0,0,2,10,86,49,4,7,22,2,1247,4,yes,0.5
175,real,875,university,no,yes,female, ,136,796,3,96,1,0,8,2,4,5,16,16,1194,74,yes,0.3
176,real,431,no,yes,yes,male,alone,16,100,3,19,0,0,7,0,1,2,2,1,360,5,no,0.5
177,real,432,high school,yes,no,male,alone,0,36,2,19,37,73,16,0,11,2,0,2,910,38,no,0.5
178,real,420,high school,yes,no,male,alone,1,211,6,9,4,4,13,1,4,0,19,5,487,22,no,0.1
179,real,704,university,no,yes,male,alone,4,12,3,59,0,0,4,1,1,0,1,0,134,14,no,0.7
180,real,421,university,yes,yes,male,alone,36,40,2,12,0,0,4,1,1,2,4,1,450,12,no,0
181,real,553,no,no,yes,female, ,0,284,6,188,0,1,6,2,5,2,0,34,939,130,yes,0.3
182,real,621,university,no,yes,male,alone,9,22,6,33,2,3,11,9,2,1,0,0,403,37,yes,0.4
183,real,479,university,yes,yes,male,complicate,0,160,4,36,2,6,2,2,1,1,0,1,125,0,no,0.2
184,real,112,no,no,no,male,complicate,0,16,7,1,5,0,0,0,0,0,0,1,69,22,no,0.3
185,real,858,university,no,no,female, ,0,232,9,48,3,1,39,14,6,1,0,21,493,11,yes,0.3
186,real,234,university,no,no,male,alone,44,92,2,47,0,23,72,15,51,3,8,1,663,11,no,0.4
187,real,354,no,no,yes,female,alone,20,3,1,26,0,0,4,0,9,0,0,4,271,5,no,0.2
188,real,1381,university,no,yes,female,alone,20,144,4,54,3,1,45,11,15,14,3,1,999,46,no,0.3
189,real,1110,high school,no,yes,male,alone,8,120,8,43,1,0,1,3,1,3,0,0,153,18,yes,0.3
190,real,873,university,yes,yes,female,alone,6,16,15,0,1,3,181,104,6,2,2,12,3710,13,yes,0
191,real,985,university,no,yes,male,alone,2,13,1,29,4,2,5,8,1,1,0,3,219,35,yes,0.5
192,real,591,university,no,no,male,complicate,0,1,6,0,0,3,1,0,1,0,0,0,82,27,no,0.5
193,real,237,university,yes,yes,male,alone,0,104,1,17,0,0,2,3,3,1,0,0,147,6,no,0.2
194,real,369,university,no,no,female,alone,16,20,1,18,0,0,7,1,1,1,0,1,83,3,no,0.2
195,real,559,university,no,no,male,alone,16,20,5,76,1,1,2,0,2,0,0,1,118,7,yes,0.4
196,real,1072,university,no,yes,male,alone,16,0,2,54,2,0,3,1,2,0,0,0,263,38,no,1
197,real,229,university,yes,no,male,alone,1,7,6,6,0,0,2,2,0,0,0,0,7,3,no,0.4
198,real,793,high school,no,no,male,complicate,0,44,19,87,0,1,5,2,1,0,0,0,96,27,no,0.1
199,real,857,university,no,no,female,complicate,15,1024,28,15,0,0,1,0,4,0,0,1,136,0,yes,0
200,real,766,university,yes,yes,female,alone,128,340,3,89,2,0,30,12,17,5,0,34,1242,28,no,0.3
201,real,1239,university,no,yes,male,alone,56,128,1,0,0,0,12,23,2,1,0,0,287,21,no,0.1
202,real,956,university,yes,yes,female,alone,48,176,10,17,1,1,9,4,10,0,1,0,302,40,no,0.4
203,real,1093,university,no,yes,male,complicate,3,8,12,42,4,0,27,2,2,2,2,0,693,19,yes,0.7
204,real,687,university,no,yes,male,alone,8,12,6,37,0,0,1,0,0,0,0,1,148,13,no,0.9
205,real,88,high school,no,no,male,alone,0,21,3,3,0,0,0,0,1,0,0,0,16,0,no,0.4
206,real,439,high school,yes,yes,male,alone,7,6,0,49,2,1,2,2,1,10,0,0,95,8,yes,0.5
207,real,423,no,no,no,male,complicate,8,16,4,43,2,4,0,2,0,0,0,0,7,18,no,0
208,real,530,university,yes,yes,male,alone,56,64,21,16,0,0,2,0,0,0,0,1,41,13,no,0.6
209,real,558,university,no,no,male,alone,7,6,5,13,2,2,4,0,1,1,0,1,247,9,no,0.5
210,real,1487,university,no,yes,male,alone,60,40,6,8,1,1,0,0,0,0,0,0,63,16,no,0.4
211,real,342,university,yes,yes,male,alone,96,120,18,17,0,0,1,0,0,0,1,0,43,12,no,0.4
212,real,816,university,yes,yes,male,alone,16,56,1,83,15,42,24,16,58,1,12,8,2247,42,no,0.8
213,real,1385,high school,yes,no,male,alone,16,64,1,10,4,14,16,5,3,0,23,0,722,78,no,0.8
214,real,487,no,no,no,male,alone,7,36,1,18,2,1,0,0,0,0,0,0,52,4,yes,0.8
215,real,671,high school,no,yes,female,alone,2,2,1,34,6,2,21,15,18,7,0,0,570,46,no,0.5
216,real,1729,university,no,no,male,alone,7,16,2,54,0,0,6,0,1,0,1,0,453,46,no,0.2
217,real,412,high school,no,yes,male,alone,8,42,3,105,8,12,2,0,2,0,0,0,669,38,no,0.4
218,real,220,no,no,no,female,alone,4,60,2,14,0,0,0,0,3,0,0,0,21,3,no,0.8
219,real,2592,university,no,yes,male,complicate,0,116,8,26,2,4,17,78,38,1,1,0,515,106,no,0.3
220,real,731,university,no,yes,female,alone,4,4,0,81,4,0,1,0,10,2,11,2,500,15,no,0
221,real,620,no,no,yes,male,alone,1,121,10,12,1,4,4,2,4,1,2,0,154,0,no,0.3
222,real,588,university,no,no,male,alone,7,20,2,8,1,0,10,1,0,0,0,0,851,11,no,0.5
223,real,726,university,no,yes,male,alone,7,16,7,34,0,0,2,2,2,1,0,0,206,19,yes,0
224,real,680,university,no,yes,female,alone,4,2,1,16,0,0,1,1,2,3,0,0,155,6,no,0
225,real,259,university,no,no,female,complicate,12,64,3,65,0,0,11,21,22,4,0,0,311,11,yes,0.4
226,real,1270,high school,yes,no,male,married,0,216,20,57,6,0,12,4,3,0,5,0,1015,264,no,0.4
227,real,238,no,no,no,male,complicate,32,84,1,16,0,0,6,0,2,0,1,0,71,11,no,0.6
228,real,341,university,no,yes,male,alone,56,32,1,40,0,0,0,0,0,0,0,0,142,2,yes,0.3
229,real,1081,university,no,no,male,alone,24,18,10,63,8,0,8,40,53,23,18,0,2326,121,yes,0.4
230,real,1275,university,yes,yes,male,complicate,36,248,4,138,2,3,20,60,20,13,1,7,379,34,yes,0.1
231,real,1011,high school,yes,yes,male,alone,0,144,10,57,2,1,87,10,50,12,2,0,8,57,no,0.4
232,real,634,university,yes,yes,male,alone,21,208,10,17,10,38,8,4,4,1,1,4,556,58,no,0.5
233,real,356,high school,no,no,male,complicate,16,4,4,18,0,0,8,81,1,0,0,2,76,6,no,1
234,real,462,university,no,no,male,complicate,36,40,4,17,0,0,0,0,0,0,0,1,787,25,no,0.1
235,real,288,university,no,yes,female,alone,48,0,2,13,0,0,0,1,1,1,1,0,81,12,no,1
236,real,327,no,no,no,male,alone,0,264,15,4,3,0,0,0,0,0,0,0,2,6,no,0.2
237,real,207,university,no,yes,male,alone,36,3,2,79,0,0,0,2,1,1,0,0,44,5,no,0.1
238,real,383,high school,no,no,female,complicate,160,273,2,67,0,0,1,0,0,0,0,0,52,5,no,0.2
239,real,340,university,no,no,male,complicate,4,20,1,4,0,0,0,0,0,0,0,0,30,3,no,0.1
240,real,472,university,yes,no,male,alone,24,39,4,38,20,29,39,18,0,1,13,7,1384,36,no,0.5
241,real,294,no,yes,yes,female,alone,18,268,0,94,3,2,53,2,1,22,2,14,2492,68,no,0.3
242,real,580,university,no,yes,male,alone,1,0,1,4,1,0,4,5,0,0,0,0,124,4,yes,0
243,real,295,university,yes,yes,female,alone,128,180,1,10,0,0,15,14,12,0,4,1,482,4,no,0.5
244,real,898,university,no,yes,female, ,51,164,8,216,3,0,26,22,18,5,7,26,948,45,yes,0.1
245,real,763,university,no,no,male,alone,0,1,0,12,203,249,28,24,58,26,18,12,3494,150,no,0
246,real,477,university,no,yes,male,alone,4,2,10,22,3,0,3,13,8,3,4,1,275,21,yes,0
247,real,393,no,no,yes,male,alone,0,4,0,0,7,6,5,0,2,0,0,2,143,5,no,0.7
248,real,457,high school,no,no,male,alone,16,3,10,42,5,5,2,1,1,0,1,0,189,25,yes,0
249,real,727,university,no,no,female,alone,72,1,3,36,1,2,0,0,2,1,0,0,200,14,yes,0.8
250,real,1882,no,yes,yes,male,alone,39,96,10,345,10,25,37,12,17,0,0,5,1304,125,yes,0.5
251,real,671,university,no,yes,female,alone,268,140,4,144,0,0,0,0,0,0,0,0,52,19,yes,0.8
252,real,530,university,no,yes,male,complicate,0,3,0,28,1,0,0,1,5,0,3,92,1,9,no,0.7
253,real,2082,university,no,yes,male,alone,0,47,12,41,2,0,3,2,1,0,0,2,431,85,no,0.6
254,real,315,university,yes,yes,male,alone,24,1,0,8,5,10,2,7,5,5,0,0,257,3,no,0.3
255,real,326,no,no,no,female,married,0,20,4,66,0,0,1,0,0,0,0,0,25,14,no,0.1
256,real,501,university,no,no,male,alone,8,8,0,3,0,0,1,0,2,0,0,0,63,2,no,0
257,real,180,university,yes,yes,female,married,0,56,0,15,2,1,0,0,5,7,0,0,110,12,no,0.1
258,real,1000,university,no,yes,female,alone,64,128,6,48,11,0,4,0,7,0,0,0,431,49,no,0.7
259,real,3343,university,yes,yes,female,complicate,76,480,20,34,2,1,0,0,2,4,0,0,469,112,no,0.2
260,real,613,university,yes,no,female, ,4,135,8,62,1,1,113,61,11,26,6,0,1182,35,no,0.4
261,real,473,no,no,yes,female,alone,12,32,1,15,0,0,0,0,0,1,0,0,83,7,no,0.9
262,real,993,university,no,no,female,alone,12,62,0,26,5,0,0,12,3,4,0,0,386,98,no,0.9
263,real,451,no,no,no,female,complicate,4,4,1,26,0,0,2,2,0,0,3,0,245,21,yes,0.7
264,real,445,university,no,yes,female,alone,8,28,1,35,0,0,15,34,14,15,1,0,900,9,no,0.5
265,real,329,university,yes,no,female,alone,32,96,5,4,0,0,0,0,0,0,2,0,377,56,no,0.9
266,real,530,university,no,yes,female,alone,1,4,4,22,0,0,0,0,0,0,0,0,1,19,no,0
267,real,344,university,no,no,female,alone,0,2,0,3,16,0,18,11,16,0,0,3,466,25,no,0
268,real,284,no,no,no,female,alone,16,48,0,6,0,0,0,0,2,0,0,0,91,2,no,0.6
269,real,490,no,yes,no,female,alone,12,42,9,4,2,0,0,0,5,1,0,0,138,8,no,0.3
270,real,2263,high school,yes,no,female,complicate,0,16,4,8,1,0,0,0,4,1,2,0,142,28,no,0.7
271,real,59,no,no,no,female,alone,3,1,0,0,0,0,0,0,1,0,0,0,1,0,no,0.2
272,real,239,university,no,no,female,alone,1,3,2,1,0,0,1,0,0,0,0,1,59,2,no,0.4
273,real,239,no,no,no,female,alone,3,4,1,0,0,0,0,0,0,0,0,0,15,14,no,0.6
274,real,1089,university,no,yes,female,alone,0,10,8,4,0,0,3,0,2,0,0,1,102,25,no,0.4
275,real,394,no,no,no,female,alone,3,29,8,0,0,0,0,0,0,0,0,0,30,12,no,0.8
276,real,1000,university,no,yes,female,alone,20,48,13,56,5,0,15,1,4,0,0,0,706,73,yes,0.6
277,real,600,university,yes,yes,female,alone,8,45,17,3,1,0,15,2,4,1,0,0,255,6,no,0.1
278,real,651,no,no,no,female,alone,28,112,12,30,4,0,4,1,0,0,0,0,121,29,no,0.5
279,real,540,no,no,yes,female,alone,12,4,0,6,16,24,0,0,0,0,37,7,1137,45,no,0.4
280,real,995,no,no,yes,female,alone,2,136,17,59,2,1,55,38,33,21,10,0,2089,52,yes,0.2
281,real,478,no,no,yes,female,alone,0,8,0,16,0,16,10,3,13,3,0,2,574,46,no,0
282,real,930,no,no,no,female,alone,1,2,0,0,4,3,0,0,0,0,0,0,82,0,no,0
283,real,571,university,no,yes,female,alone,0,4,2,60,0,4,14,3,5,13,0,14,1175,47,no,0.6
284,real,512,university,no,yes,female,alone,96,116,0,11,0,0,0,0,0,0,0,0,56,16,no,0.2
285,real,379,no,no,no,female,alone,4,3,0,37,0,0,16,2,3,5,0,0,785,31,yes,0
286,real,3602,university,no,yes,female,complicate,160,160,336,49,120,1,2,0,0,1,0,0,725,131,yes,0.2
287,real,550,university,no,yes,female,alone,0,16,12,3,4,10,0,0,0,0,0,0,112,114,yes,0.3
288,real,450,university,no,yes,female,alone,8,28,6,11,7,12,10,0,0,1,1,0,421,57,no,0.2
289,real,730,university,no,yes,female,alone,4,92,14,111,1,1,51,0,2,10,0,0,1551,6,yes,0.6
290,real,2110,high school,yes,no,female,alone,12,60,0,4,0,0,1,1,0,0,1,0,665,65,no,0.7
291,real,420,no,no,no,female,alone,48,48,0,40,4,0,3,0,0,0,0,0,207,6,no,0.9
292,real,356,university,no,no,female,alone,0,8,6,11,1,1,6,3,0,0,0,0,208,7,no,0.6
293,real,798,no,no,no,female,alone,0,12,3,8,1,0,0,0,0,0,0,0,47,0,no,0.3
294,real,232,no,no,yes,female,complicate,204,120,48,171,0,0,0,2,3,2,0,5,312,28,yes,0.1
295,real,281,no,no,no,female,alone,4,8,7,19,2,0,11,5,0,1,0,6,555,15,no,0.5
296,real,344,university,no,yes,female,alone,2,2,1,28,0,0,63,6,13,6,0,2,397,6,no,0.5
297,real,299,high school,no,no,female,alone,16,4,2,39,4,16,12,0,2,2,0,0,172,11,no,0.3
298,real,318,no,no,no,female,alone,0,1,0,0,0,0,0,0,0,0,0,0,16,3,no,0
299,real,520,no,no,no,female,alone,0,0,0,11,0,0,0,0,0,0,0,0,21,3,no,0
300,real,135,high school,no,no,female,alone,0,1,1,1,0,0,0,0,0,0,0,0,15,1,no,0
301,real,130,no,no,no,female,alone,0,3,0,0,0,0,6,0,3,2,0,0,173,23,no,0.3
302,real,353,no,no,no,female,alone,1,0,0,5,0,0,1,0,0,2,0,1,96,2,no,1
303,real,907,university,no,no,male,complicate,11,8,4,43,0,3,7,1,0,0,0,4,383,35,yes,0.5
304,real,4982,high school,yes,yes,male,complicate,20,120,5,57,5,5,0,0,0,1,0,0,1134,48,no,0.3
305,fake,676,no,no,no,female,alone,0,8,0,0,0,0,0,0,0,0,0,0,51,0,no,1
306,fake,4998,university,yes,no,male,alone,0,11,0,47,0,0,0,0,0,0,0,0,197,234,no,0.3
307,fake,49,no,no,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1
308,fake,159,high school,yes,no,male,alone,0,0,0,1,0,0,0,1,0,0,5,0,178,17,no,1
309,fake,82,no,no,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1
310,fake,42,no,no,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1
311,fake,375,no,no,no,female,alone,2,0,0,0,0,0,0,0,0,0,0,0,19,0,no,0
312,fake,595,no,yes,no,male,alone,0,5,0,1,0,0,0,0,0,0,0,0,15,23,no,0
313,fake,722,university,yes,no,female,alone,0,1,0,1,0,0,0,0,0,0,0,0,15,2,no,1
314,fake,5,high school,no,no,female,alone,0,6,0,0,0,0,0,0,0,0,0,0,0,0,no,0
315,fake,485,university,yes,no,female,alone,6,5,0,1,0,0,0,0,0,0,0,0,12,37,no,0
316,fake,463,high school,yes,no,female,alone,0,6,0,3,0,0,0,1,1,0,0,0,257,68,no,0.8
317,fake,1160,university,yes,no,female,complicate,2,240,0,1,0,0,0,0,0,0,0,0,49,118,no,0.7
318,fake,136,no,yes,no,male,alone,0,1,0,0,0,0,0,0,0,0,0,0,6,0,no,0.8
319,fake,4717,high school,yes,no,male,alone,0,10,1,20,3,0,1,0,0,0,0,0,774,427,no,0.2
320,fake,431,university,yes,no,female,alone,9,12,1,12,0,0,1,0,0,0,0,0,183,87,no,0.5
321,fake,3332,university,yes,no,female,complicate,0,576,0,0,0,0,0,0,0,0,0,0,137,38,no,0
322,fake,4390,no,yes,no,male,alone,0,21,0,12,0,0,0,0,0,0,0,0,223,88,no,0.9
323,fake,3219,no,no,no,female,alone,4,0,0,4,0,0,0,0,0,0,0,0,56,55,no,0.6
324,fake,4699,no,no,no,female,alone,0,100,0,20,0,0,4,0,0,0,1,0,559,186,no,1
325,fake,519,high school,yes,no,male,alone,0,1,0,1,0,0,0,0,0,0,0,0,46,29,no,0.5
326,fake,231,no,yes,no,male,alone,0,0,0,0,0,0,0,0,0,0,2,0,21,0,no,1
327,fake,1491,no,no,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,89,0,no,1
328,fake,710,no,no,no,male,alone,0,0,0,0,0,0,0,0,0,0,0,0,29,1,no,1
329,fake,825,no,yes,no,male,alone,0,1,0,0,0,0,2,0,0,0,9,0,570,1,no,1
330,fake,1716,no,no,no,male,alone,0,0,0,0,0,0,0,0,0,1,0,0,88,75,no,1
331,fake,1895,no,yes,no,male,alone,0,0,0,0,0,0,0,0,0,0,0,0,105,35,no,1
332,fake,2464,no,yes,no,male,alone,0,0,0,9,0,0,1,0,0,0,4,0,140,69,no,1
333,fake,2609,no,no,no,male,alone,0,0,0,0,0,0,0,0,0,0,1,0,41,6,no,1
334,fake,1478,no,no,no,female,alone,0,0,0,0,0,0,3,2,4,0,0,0,79,47,no,1
335,fake,1602,no,yes,no,female,complicate,1,0,0,0,0,0,0,4,7,4,0,0,4,0,no,1
336,fake,1591,no,yes,no,female,alone,0,0,0,7,0,0,0,1,0,0,0,0,34,65,no,1
337,fake,2464,no,yes,no,female,alone,0,0,0,0,0,0,1,0,0,0,0,0,140,69,no,1
338,fake,2230,no,yes,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,59,no,1
339,fake,1920,no,yes,no,male,alone,0,0,0,1,0,5,0,0,0,0,0,7,450,29,no,1
340,fake,1652,university,yes,no,male,alone,2,0,1,11,0,0,0,0,0,0,8,1,357,1941,no,1
341,fake,160,high school,yes,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,11,1,no,1
342,fake,847,university,yes,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,23,1,no,1
343,fake,189,high school,yes,no,male,alone,0,0,0,0,0,0,0,0,1,0,4,0,16,0,no,1
344,fake,1355,high school,yes,no,female,alone,0,1008,0,0,0,0,0,0,0,0,0,0,125,25,no,0.3
345,fake,769,no,yes,no,female,alone,0,0,0,0,0,0,3,0,0,0,0,0,80,21,no,1
346,fake,1951,no,no,no,female,alone,0,0,1,2,0,0,2,0,0,0,0,0,62,22,no,1
347,fake,24,no,no,no,male,alone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no,1
348,fake,2472,high school,yes,no,female,alone,3,132,0,0,0,0,72,9,10,0,0,0,1032,1572,no,0.8
349,fake,502,university,yes,no,female,alone,0,7,0,0,0,0,0,1,0,0,0,0,40,11,no,0
350,fake,130,no,yes,no,female,alone,0,1,0,0,0,0,2,0,0,0,0,1,91,1,no,0
351,fake,140,high school,yes,no,male,alone,0,1,0,0,0,0,0,0,1,1,0,1,46,0,no,0
352,fake,23,no,no,no,female,alone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,1
353,fake,4830,no,yes,no,male,complicate,0,248,2,4,0,0,0,0,0,0,0,0,768,176,no,0
354,fake,2245,high school,yes,no,male,alone,0,27,0,28,0,0,0,0,0,0,1,0,476,445,no,0
355,fake,2872,no,no,no,male,alone,0,9,0,0,0,0,0,0,0,0,0,0,404,25,no,0
356,fake,169,no,yes,no,female,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,240,no,0
357,fake,4448,university,yes,no,female,alone,1,1,0,25,3,0,0,0,0,0,0,0,507,20,no,1
358,fake,4529,no,yes,no,female,alone,0,2128,0,68,0,0,0,0,0,0,0,0,422,181,no,0.2
359,fake,4732,no,yes,no,male,alone,1,400,0,43,0,0,0,0,0,0,2,0,446,238,no,0.1
360,fake,386,university,no,no,female,alone,1,1,0,4,0,0,0,1,0,0,0,0,179,317,no,0
361,fake,510,no,yes,no,female,alone,0,6,0,0,0,0,0,0,0,0,0,0,98,2,no,0.6
362,fake,207,no,yes,no,female,alone,0,4,0,0,0,0,0,0,0,0,0,0,32,4,no,0.9
363,fake,559,no,no,no,female,alone,0,0,0,0,0,0,1,0,0,1,0,0,112,0,no,1
364,fake,452,no,yes,no,female,alone,1,0,0,0,0,0,0,0,1,0,0,0,210,3,no,1
